fdc_id,food_name,protein,fat,carbohydrates,calories,food_category,serving_size
320274,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320277,"MILK, 2% ",,,,,Dairy and Egg Products,
320278,"MILK, 2% ",,,,,Dairy and Egg Products,
320279,"MILK, 2% ",,1.93,,,Dairy and Egg Products,
320280,"MILK, 2% ",,,,,Dairy and Egg Products,
320281,"MILK, 2% ",,,,,Dairy and Egg Products,
320282,"MILK, 2% ",,,,,Dairy and Egg Products,
320283,"MILK, 2% ",,,,,Dairy and Egg Products,
320284,"MILK, 2% ",,,,,Dairy and Egg Products,
320285,"MILK, 2% ",,,,,Dairy and Egg Products,
320286,"MILK, 2% ",,,,,Dairy and Egg Products,
320287,"MILK, 2% ",,,,,Dairy and Egg Products,
320288,"MILK, 2% ",,,,,Dairy and Egg Products,
320289,"MILK, 2% ",,,,,Dairy and Egg Products,
320290,"Milk, 2%",,,,,Dairy and Egg Products,
320291,"Milk, 2%",,,,,Dairy and Egg Products,
320292,"Milk, 2%",,,,,Dairy and Egg Products,
320293,"Milk, 2%",,,,,Dairy and Egg Products,
320294,"Milk, 2%",,,,,Dairy and Egg Products,
320295,"Milk, 2%",,,,,Dairy and Egg Products,
320296,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320297,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320300,"MILK, 2% ",,1.97,,,Dairy and Egg Products,
320301,"MILK, 2% ",,,,,Dairy and Egg Products,
320302,"MILK, 2% ",,,,,Dairy and Egg Products,
320303,"MILK, 2% ",,,,,Dairy and Egg Products,
320304,"MILK, 2% ",,,,,Dairy and Egg Products,
320305,"MILK, 2% ",,,,,Dairy and Egg Products,
320306,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320309,"MILK, 2% ",,1.94,,,Dairy and Egg Products,
320310,"MILK, 2% ",,,,,Dairy and Egg Products,
320311,"MILK, 2% ",,,,,Dairy and Egg Products,
320312,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320315,"MILK, 2% ",,,,,Dairy and Egg Products,
320316,"MILK, 2% ",,,,,Dairy and Egg Products,
320317,"MILK, 2% ",,1.92,,,Dairy and Egg Products,
320318,"MILK, 2% ",,,,,Dairy and Egg Products,
320319,"MILK, 2% ",,,,,Dairy and Egg Products,
320320,"MILK, 2% ",,,,,Dairy and Egg Products,
320321,"MILK, 2% ",,,,,Dairy and Egg Products,
320322,"MILK, 2% ",,,,,Dairy and Egg Products,
